URI,name,alternative-fr,alternative-nl,alternative-de,alternative-en,taf-tap-code,telegraph-code,country-code,longitude,latitude,avg_stop_times,official_transfer_time
http://irail.be/stations/NMBS/008864352,Aye,,,,,BE00100,AYE,be,5.301091,50.224135,60.222857,300
http://irail.be/stations/NMBS/008842754,Aywaille,,,,,BE00084,MWL,be,5.672499,50.472938,31.668571,300
http://irail.be/stations/NMBS/008822160,Baasrode-Zuid,Baesrode-Sud,,,,BE00102,FRA,be,4.153492,51.019437,64.782857,300
http://irail.be/stations/NMBS/008728687,Baisieux,,,,,,,fr,3.25000000,50.6000000,50.217143,300
http://irail.be/stations/NMBS/008895257,Balegem-Dorp,,,,,BE00105,FGED,be,3.791425,50.919612,42.108571,300
http://irail.be/stations/NMBS/008895240,Balegem-Zuid,,,,,BE00106,FGE,be,3.80587,50.90051,42.108571,300
http://irail.be/stations/NMBS/008832045,Balen,Baelen,,,,BE00107,LNE,be,5.164986,51.169099,30.571429,300
http://irail.be/stations/NMBS/008895463,Bambrugge,,,,,BE00110,BAM,be,3.935711,50.913769,6.72,300
http://irail.be/stations/NMBS/008864451,Barvaux,,,,,BE00114,LBV,be,5.501542,50.349417,30.582857,300
http://irail.be/stations/NMBS/008843430,Bas-Oha,,,,,BE00118,NBE,be,5.190937,50.52263,88.885714,300
http://irail.be/stations/NMBS/008200718,Bascharage-Sanem,,,,,,,lu,5.92374200,49.5583600,51.022857,300
http://irail.be/stations/NMBS/008500010,Basel,,Bazel,,,,,ch,7.590716,47.547408,0,
http://irail.be/stations/NMBS/008811734,Basse-Wavre,,,,,BE00120,BGWV,be,4.621651,50.72442,54.857143,300
http://irail.be/stations/NMBS/008865128,Bastogne-Nord,,Bastenaken-Noord,,,,,be,5.720744,50.006919,0,
http://irail.be/stations/NMBS/008865110,Bastogne-Sud,,Bastenaken-Zuid,,,BE00422,LS,be,5.709858,49.999737,0,
http://irail.be/stations/NMBS/008863867,Beauraing,,,,,BE00126,MBG,be,4.95684,50.11443,26.942857,300
http://irail.be/stations/NMBS/008891124,Beernem,,,,,BE00127,LBM,be,3.329892,51.128009,188.16,300
http://irail.be/stations/NMBS/008814423,Beersel,,,,,BE00128,GBB,be,4.302605,50.766616,43.245714,300
http://irail.be/stations/NMBS/008894151,Beervelde,,,,,BE00227,FBV,be,3.879384,51.08753,120.137143,300
http://irail.be/stations/NMBS/008821865,Begijnendijk,,,,,BE00132,GBD,be,4.800338,51.021972,96.605714,300
http://irail.be/stations/NMBS/008871183,Beignée,,,,,BE00133,BEI,be,4.406305,50.333893,34.485714,300
http://irail.be/stations/NMBS/008891157,Bellem,,,,,BE00136,FEB,be,3.487374,51.083908,188.16,300
http://irail.be/stations/NMBS/008894433,Belsele,,,,,BE00138,LLB,be,4.088608,51.150994,154.56,300
http://irail.be/stations/NMBS/008832235,Beringen,,,,,BE01348,LBN,be,5.235892,51.050603,30.571429,300
http://irail.be/stations/NMBS/008821816,Berlaar,,,,,BE00142,GBL,be,4.638811,51.113662,95.942857,300
http://irail.be/stations/NMBS/008065969,Berlin HBF,,,,,,,de,13.369548,52.525589,0,
http://irail.be/stations/NMBS/008032318,Berlin Lichtenberg,,,,,,,de,13.4965,52.5097,0,
http://irail.be/stations/NMBS/008200510,Bertrange Strassen,,,,,,,lu,6.060601,49.613002,49.091429,300
http://irail.be/stations/NMBS/008865300,Bertrix,,,,,BE00146,MBX,be,5.267193,49.852835,44.52,300
http://irail.be/stations/NMBS/008873320,Berzée,,,,,BE00147,LBZ,be,4.405909,50.285603,34.485714,300
http://irail.be/stations/NMBS/008861424,Beuzet,,,,,BE00148,MBZ,be,4.748533,50.534208,129.188571,300
http://irail.be/stations/NMBS/008894748,Beveren,,,,,BE00151,FBR,be,4.25952,51.208336,139.788571,300
http://irail.be/stations/NMBS/008832227,Beverlo,,,,,BE00143,MBV,be,5.234373,51.087719,30.571429,300
http://irail.be/stations/NMBS/008778100,Béziers,,,,,,,fr,3.218794,43.336177,0,
http://irail.be/stations/NMBS/008811718,Bierges-Walibi,,,,,BE00153,FBRG,be,4.594746,50.707772,80.297143,300
http://irail.be/stations/NMBS/008841319,Bierset-Awans,,,,,BE00155,FTI,be,5.460551,50.65861,63.428571,300
http://irail.be/stations/NMBS/008831138,Bilzen,,,,,BE00157,FIE,be,5.50938,50.868643,61.337143,300
http://irail.be/stations/NMBS/008882362,Binche,,,,,BE00158,LBH,be,4.172451,50.408764,35.068571,300
http://irail.be/stations/NMBS/008896388,Bissegem,,,,,BE00160,MIM,be,3.224205,50.825845,41.622857,300
http://irail.be/stations/NMBS/008889045,Blandain-Frontiere,,,,,,,be,3.26373000,50.6174900,48.817143,120
http://irail.be/stations/NMBS/008891405,Blankenberge,,,,,BE00166,FBK,be,3.133864,51.312432,38.88,300
http://irail.be/stations/NMBS/008861531,Blanmont,,,,,BE00167,MBL,be,4.636393,50.619453,130.417143,300
http://irail.be/stations/NMBS/008884715,Blaton,,,,,BE00169,LLT,be,3.666304,50.505461,64.468571,300
http://irail.be/stations/NMBS/008841434,Bleret,,,,,BE00171,BLE,be,5.286394,50.685065,63.428571,300
http://irail.be/stations/NMBS/008812021,Bockstael,,,,,BE01767,FBL,be,4.348513,50.87943,118.702857,300
http://irail.be/stations/NMBS/008821634,Boechout,,,,,BE00177,GBC,be,4.494489,51.16348,187.16,300
http://irail.be/stations/NMBS/008831781,Bokrijk,,,,,BE00184,FKY,be,5.408386,50.955812,41.851429,300
http://irail.be/stations/NMBS/008864469,Bomal,,,,,BE00185,MBM,be,5.519304,50.376798,41.4,300
http://irail.be/stations/NMBS/008821857,Booischot,,,,,BE00187,GB,be,4.773478,51.037344,95.942857,300
http://irail.be/stations/NMBS/008822814,Boom,,,,,BE00188,FMB,be,4.360694,51.090713,58.314286,300
http://irail.be/stations/NMBS/008814456,Boondaal/Boondael,Boondael,Boondaal,,,BE00189,BOL,be,4.393387,50.801665,85.965714,300
http://irail.be/stations/NMBS/008822475,Boortmeerbeek,,,,,BE00190,FOB,be,4.5739,50.981853,66.468571,300
http://irail.be/stations/NMBS/008758100,Bordeaux Saint Jean,,,,,,,fr,-0.5557068,44.8256102,0,
http://irail.be/stations/NMBS/008811163,Bordet,,,,,BE00191,BOR,be,4.410026,50.877785,156.28,300
http://irail.be/stations/NMBS/008822772,Bornem,,,,,BE00192,LOB,be,4.240526,51.099225,41.114286,300
http://irail.be/stations/NMBS/008811437,Bosvoorde/Boitsfort,Boitsfort,Bosvoorde,,,BE00183,MBR,be,4.408112,50.794698,157.028571,300
http://irail.be/stations/NMBS/008774179,Bourg-Saint-Maurice,,,,,,,fr,6.771664,45.618826,0,
http://irail.be/stations/NMBS/008884319,Boussu,,,,,BE00195,FSB,be,3.797025,50.436388,32.828571,300
http://irail.be/stations/NMBS/008821725,Bouwel,,,,,BE00199,FOW,be,4.746511,51.165764,118.171429,300
http://irail.be/stations/NMBS/008881463,Bracquegnies,,,,,BE00201,LBQ,be,4.126345,50.474457,87.782857,300
http://irail.be/stations/NMBS/008814258,Braine-l'Alleud,,Eigenbrakel,,,BE00203,FBD,be,4.375526,50.684778,164.097143,240
http://irail.be/stations/NMBS/008883006,Braine-le-Comte,,'s Gravenbrakel,,,BE00205,FBC,be,4.137662,50.605079,206.497143,300
http://irail.be/stations/NMBS/008400131,Breda,,,,,,,nl,4.7764000000,51.5944590000,47.914286,300
http://irail.be/stations/NMBS/008843901,Bressoux,,,,,BE00208,FBX,be,5.611057,50.643967,38.857143,300
http://irail.be/stations/NMBS/008886066,Brugelette,,,,,BE00209,FBG,be,3.852551,50.594229,36.64,300
http://irail.be/stations/NMBS/008891009,Brugge,Bruges,,,,BE00210,FR,be,3.216726,51.197226,283.954286,180
http://irail.be/stations/NMBS/008891033,Brugge-Sint-Pieters,Bruges-Saint-Pierre,,,,BE00212,FRSP,be,3.201795,51.223115,107.645714,300
http://irail.be/stations/NMBS/008813003,Brussel-Centraal/Bruxelles-Central,Bruxelles-Central,Brussel-Centraal,,Brussels-Central,BE00215,FBCL,be,4.356801,50.845658,970.954286,300
http://irail.be/stations/NMBS/008813045,Brussel-Congres/Bruxelles-Congrès,Bruxelles-Congrès,Brussel-Congres,,Brussels-Congres,BE00216,FBCO,be,4.362051,50.852067,970.954286,300
http://irail.be/stations/NMBS/008813037,Brussel-Kapellekerk/Bruxelles-Chapelle,Bruxelles-Chapelle,Brussel-Kapellekerk,,Brussels-Chapelle/Brussels-Kapellekerk,BE00217,FBCK,be,4.347866,50.841127,970.954286,300
http://irail.be/stations/NMBS/008811304,Brussel-Luxemburg/Bruxelles-Luxembourg,Bruxelles-Luxembourg,Brussel-Luxemburg,,Brussels-Luxemburg/Brussels-Luxembourg,BE00218,LX,be,4.373674,50.838943,295.514286,300
http://irail.be/stations/NMBS/008812005,Brussel-Noord/Bruxelles-Nord,Bruxelles-Nord,Brussel-Noord,,Brussels-North,BE00221,FBN,be,4.360846,50.859663,979.971429,300
http://irail.be/stations/NMBS/008811916,Brussel-Schuman/Bruxelles-Schuman,Bruxelles-Schuman,Brussel-Schuman,,Brussels-Schuman,BE00227,FBSM,be,4.380722,50.843276,268.177143,300
