URI,parent_stop,longitude,latitude,name,alternative-nl,alternative-fr,alternative-de,alternative-en,platform
http://irail.be/stations/NMBS/008871712#2,http://irail.be/stations/NMBS/008871712,4.26095700,50.3464690,Lobbes platform 2,Lobbes perron 2,Lobbes voie 2,Lobbes gleiss 2,Lobbes platform 2,2
http://irail.be/stations/NMBS/008872306#1,http://irail.be/stations/NMBS/008872306,4.46295000,50.4324500,Lodelinsart platform 1,Lodelinsart perron 1,Lodelinsart voie 1,Lodelinsart gleiss 1,Lodelinsart platform 1,1
http://irail.be/stations/NMBS/008872306#2,http://irail.be/stations/NMBS/008872306,4.46295000,50.4324500,Lodelinsart platform 2,Lodelinsart perron 2,Lodelinsart voie 2,Lodelinsart gleiss 2,Lodelinsart platform 2,2
http://irail.be/stations/NMBS/008894201#1,http://irail.be/stations/NMBS/008894201,3.98779400,51.1080620,Lokeren platform 1,Lokeren perron 1,Lokeren voie 1,Lokeren gleiss 1,Lokeren platform 1,1
http://irail.be/stations/NMBS/008894201#2,http://irail.be/stations/NMBS/008894201,3.98779400,51.1080620,Lokeren platform 2,Lokeren perron 2,Lokeren voie 2,Lokeren gleiss 2,Lokeren platform 2,2
http://irail.be/stations/NMBS/008894201#3,http://irail.be/stations/NMBS/008894201,3.98779400,51.1080620,Lokeren platform 3,Lokeren perron 3,Lokeren voie 3,Lokeren gleiss 3,Lokeren platform 3,3
http://irail.be/stations/NMBS/008894201#4,http://irail.be/stations/NMBS/008894201,3.98779400,51.1080620,Lokeren platform 4,Lokeren perron 4,Lokeren voie 4,Lokeren gleiss 4,Lokeren platform 4,4
http://irail.be/stations/NMBS/008894201#A,http://irail.be/stations/NMBS/008894201,3.98779400,51.1080620,Lokeren platform A,Lokeren perron A,Lokeren voie A,Lokeren gleiss A,Lokeren platform A,A
http://irail.be/stations/NMBS/008832565#1,http://irail.be/stations/NMBS/008832565,5.31203200,51.2115640,Lommel platform 1,Lommel perron 1,Lommel voie 1,Lommel gleiss 1,Lommel platform 1,1
http://irail.be/stations/NMBS/008822111#1,http://irail.be/stations/NMBS/008822111,4.29906900,51.0090920,Londerzeel platform 1,Londerzeel perron 1,Londerzeel voie 1,Londerzeel gleiss 1,Londerzeel platform 1,1
http://irail.be/stations/NMBS/008822111#2,http://irail.be/stations/NMBS/008822111,4.29906900,51.0090920,Londerzeel platform 2,Londerzeel perron 2,Londerzeel voie 2,Londerzeel gleiss 2,Londerzeel platform 2,2
http://irail.be/stations/NMBS/008861416#1,http://irail.be/stations/NMBS/008861416,4.72010000,50.5519400,Lonzée platform 1,Lonzée perron 1,Lonzée voie 1,Lonzée gleiss 1,Lonzée platform 1,1
http://irail.be/stations/NMBS/008861416#2,http://irail.be/stations/NMBS/008861416,4.72010000,50.5519400,Lonzée platform 2,Lonzée perron 2,Lonzée voie 2,Lonzée gleiss 2,Lonzée platform 2,2
http://irail.be/stations/NMBS/008814357#1,http://irail.be/stations/NMBS/008814357,4.27370000,50.7663600,Lot platform 1,Lot perron 1,Lot voie 1,Lot gleiss 1,Lot platform 1,1
http://irail.be/stations/NMBS/008814357#2,http://irail.be/stations/NMBS/008814357,4.27370000,50.7663600,Lot platform 2,Lot perron 2,Lot voie 2,Lot gleiss 2,Lot platform 2,2
http://irail.be/stations/NMBS/008833001#1,http://irail.be/stations/NMBS/008833001,4.71586800,50.8822820,Leuven platform 1,Leuven perron 1,Louvain voie 1,Löwen gleiss 1,Leuven platform 1,1
