URI,name,street,zip,city,ticket_vending_machine,luggage_lockers,free_parking,taxi,bicycle_spots,blue-bike,bus,tram,metro,wheelchair_available,ramp,disabled_parking_spots,elevated_platform,escalator_up,escalator_down,elevator_platform,audio_induction_loop,sales_open_monday,sales_close_monday,sales_open_tuesday,sales_close_tuesday,sales_open_wednesday,sales_close_wednesday,sales_open_thursday,sales_close_thursday,sales_open_friday,sales_close_friday,sales_open_saturday,sales_close_saturday,sales_open_sunday,sales_close_sunday
http://irail.be/stations/NMBS/008821196,Antwerpen-Zuid,Kolonel Silvertopstraat,2020,Antwerpen,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008892734,Anzegem,Statieplein 3,8570,Anzegem,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008895745,Appelterre,'T Angereelstraat 101,9400,Appelterre - Ninove,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008814472,Arcaden/Arcades,Arcadenplein,1170,Watermaal-Bosvoorde,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008811759,Archennes,Rue De Florival 100,1390,Grez Doiceau,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008866001,Arlon,Avenue De La Gare 32,6700,Arlon,1,0,1,1,1,0,1,0,0,1,1,13,1,0,0,0,1,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,06:15,20:30,06:15,20:30
http://irail.be/stations/NMBS/008728686,Ascq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008812070,Asse,Stationsstraat 91,1730,Asse,1,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008864931,Assesse,Place Louis Focant 1,5330,Assesse,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008886009,Ath,Rue De La Station,7800,Ath,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,1,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,05:45,20:00,06:00,20:30,06:00,20:30
http://irail.be/stations/NMBS/008866605,Athus,Place Des Martyrs,6791,Athus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008869047,Athus-Frontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008866654,Aubange,Avenue De La Gare,6790,Aubange,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008869088,Aubange-Frontiere-Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008729560,Aulnoye-Aymeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008874716,Auvelais,Rue De La Gare,5060,Auvelais,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008731896,Avignon TGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008864352,Aye,Rue Du Vivier,6900,Aye,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008842754,Aywaille,Place Marcellis 3,4920,Aywaille,1,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008727149,Aéroport Charles-de-Gaulle TGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008822160,Baasrode-Zuid,Mandekensstraat,9280,Baasrode-Zuid,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008728687,Baisieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008895257,Balegem-Dorp,Houtestraat 32,9860,Balegem - Oosterzele,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008895240,Balegem-Zuid,Walzegem,9860,Balegem - Oosterzele,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008832045,Balen,Stationsstraat,2490,Balen,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008895463,Bambrugge,Kwalestraat,9420,Bambrugge - Erpe-Mere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008864451,Barvaux,Rue Des Hazalles,6940,Barvaux,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008843430,Bas-Oha,Rue Bormans 1,4520,Bas-Oha,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008500010,Basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008811734,Basse-Wavre,Chaussée Du Tilleul,1300,Wavre,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008865128,Bastogne-Nord,Rue Pierre Thomas/n30,6600,Bastogne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008865110,Bastogne-Sud,Place De La Gare 1,6600,Bastogne.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008863867,Beauraing,Place De La Gare 45,5570,Beauraing,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008891124,Beernem,Stationsplein 3,8730,Beernem,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008814423,Beersel,Lotsestraat,1650,Beersel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008894151,Beervelde,Beerveldsebaan 28,9080,Beervelde,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,
http://irail.be/stations/NMBS/008821865,Begijnendijk,Haltestraat Zn,3130,Begijnendijk,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
