URI,name,nmbs_short_name,average_weekday_embarkments,average_saturday_embarkments,average_sunday_embarkments
http://irail.be/stations/NMBS/008895851,Welle,WELLE,467,82,71
http://irail.be/stations/NMBS/008896396,Wervik,WERVIK,760,350,420
http://irail.be/stations/NMBS/008822525,Wespelaar-Tildonk,WESPELAAR-TILDONK,497,125,143
http://irail.be/stations/NMBS/008893559,Wetteren,WETTEREN,2.712,808,666
http://irail.be/stations/NMBS/008896370,Wevelgem,WEVELGEM,533,380,432
http://irail.be/stations/NMBS/008833233,Wezemaal,WEZEMAAL,616,322,266
http://irail.be/stations/NMBS/008893534,Wichelen,WICHELEN,246,90,84
http://irail.be/stations/NMBS/008833175,Wijgmaal,WIJGMAAL,570,184,191
http://irail.be/stations/NMBS/008821436,Wildert,WILDERT,202,108,80
http://irail.be/stations/NMBS/008822608,Willebroek,WILLEBROEK,526,387,328
http://irail.be/stations/NMBS/008821709,Wolfstee,WOLFSTEE,62,,
http://irail.be/stations/NMBS/008893211,Wondelgem,WONDELGEM,222,59,20
http://irail.be/stations/NMBS/008847258,Y.renory,YVES-GOMEZEE,48,10,13
http://irail.be/stations/NMBS/008863545,Yvoir,YVOIR,658,366,426
http://irail.be/stations/NMBS/008895737,Zandbergen,ZANDBERGEN,246,46,55
http://irail.be/stations/NMBS/008811221,Zaventem,ZAVENTEM,1.677,907,585
http://irail.be/stations/NMBS/008891264,Zedelgem,ZEDELGEM,636,315,370
http://irail.be/stations/NMBS/008891553,Zeebrugge-Dorp,ZEEBRUGGE-DORP,353,,
http://irail.be/stations/NMBS/008891173,Zeebrugge-Strand,ZEEBRUGGE-STRAND,,153,136
http://irail.be/stations/NMBS/008894235,Zele,ZELE,808,299,234
http://irail.be/stations/NMBS/008812062,Zellik,ZELLIK,781,128,102
http://irail.be/stations/NMBS/008833274,Zichem,ZICHEM,260,96,94
http://irail.be/stations/NMBS/008892635,Zingem,ZINGEM,421,153,121
http://irail.be/stations/NMBS/008832250,Zolder,ZOLDER,93,66,61
http://irail.be/stations/NMBS/008832334,Zonhoven,ZONHOVEN,78,63,37
http://irail.be/stations/NMBS/008895208,Zottegem,ZOTTEGEM,4.360,1.109,934
http://irail.be/stations/NMBS/008894821,Zwijndrecht,ZWIJNDRECHT,401,,
http://irail.be/stations/NMBS/008861432,SaintDenisBovesse,,,,
http://irail.be/stations/NMBS/008884004,SaintGhislain,,,,
http://irail.be/stations/NMBS/008718213,SaintLouisHautRhin,,,,
http://irail.be/stations/NMBS/008775752,SaintRaphaëlValescure,,,,
http://irail.be/stations/NMBS/008864956,SartBernard,,,,
http://irail.be/stations/NMBS/008721222,Saverne,,,,
http://irail.be/stations/NMBS/008811007,Schaarbeek/Schaerbeek,Schaerbeek,Schaarbeek,,
http://irail.be/stations/NMBS/008893070,Scheldewindeke,,,,
http://irail.be/stations/NMBS/008824232,Schelle,,,,
http://irail.be/stations/NMBS/008893542,Schellebelle,,,,
http://irail.be/stations/NMBS/008895711,Schendelbeke,,,,
http://irail.be/stations/NMBS/008400561,Schiphol,,,,
http://irail.be/stations/NMBS/008893526,Schoonaarde,,,,
http://irail.be/stations/NMBS/008200716,Schouweiler,,,,
http://irail.be/stations/NMBS/008831088,Schulen,,,,
http://irail.be/stations/NMBS/008863446,Sclaigneaux,,,,
http://irail.be/stations/NMBS/008843133,Sclessin,,,,
http://irail.be/stations/NMBS/008721405,Selestat,,,,
http://irail.be/stations/NMBS/008843067,Seraing,,,,
http://irail.be/stations/NMBS/008893583,Serskamp,,,,
http://irail.be/stations/NMBS/008015588,Siegburg,,,,
http://irail.be/stations/NMBS/008883436,Silly,,Opzullik,,
http://irail.be/stations/NMBS/008812013,Simonis,,,,
http://irail.be/stations/NMBS/008894425,Sinaai,,,,
http://irail.be/stations/NMBS/008812211,SintAgathaBerchem/BerchemSainteAgathe,BerchemSainteAgathe,SintAgathaBerchem,,
http://irail.be/stations/NMBS/008892692,SintDenijsBoekel,,,,
http://irail.be/stations/NMBS/008814167,SintGenesiusRode,RhodeSaintGenèse,,RhodeSt.Genese/st.GenesiusRode,St.GenesiusRode/rhodeSt.Genese
http://irail.be/stations/NMBS/008893443,SintGillisDendermonde,SaintGilleslezTermonde,SintGillis,SintGillis,SintGillis
http://irail.be/stations/NMBS/008814449,SintJob,SaintJob,,SaintJob / SintJob,SintJob / SaintJob
http://irail.be/stations/NMBS/008833159,SintJorisWeert,,,,
http://irail.be/stations/NMBS/008822228,SintKatelijneWaver,WavreSainteCatherine,,,
http://irail.be/stations/NMBS/008821543,SintMariaburg,,,,
http://irail.be/stations/NMBS/008812245,SintMartensBodegem,BodeghemSaintMartin,,,
http://irail.be/stations/NMBS/008894508,SintNiklaas,SaintNicolas,,,
http://irail.be/stations/NMBS/008831807,SintTruiden,SaintTrond,,,
http://irail.be/stations/NMBS/008893260,Sleidinge,,,,
http://irail.be/stations/NMBS/008883113,Soignies,,Zinnik,,
http://irail.be/stations/NMBS/008871662,SolresurSambre,,,,
http://irail.be/stations/NMBS/008844404,Spa,,,,
http://irail.be/stations/NMBS/008844420,SpaGéronstère,,,,
http://irail.be/stations/NMBS/008843406,Statte,,,,
http://irail.be/stations/NMBS/008869054,SterpenichFrontiere,,,,
http://irail.be/stations/NMBS/008862018,Stockem,,,,
http://irail.be/stations/NMBS/008721202,Strasbourg,,Straatsburg,Straßburg,
http://irail.be/stations/NMBS/008842853,Sy,,,,
http://irail.be/stations/NMBS/008777320,Sète,,,,
http://irail.be/stations/NMBS/008874609,Tamines,,,,
http://irail.be/stations/NMBS/008894672,Temse,Tamise,,,
http://irail.be/stations/NMBS/008895448,Terhagen,,,,
http://irail.be/stations/NMBS/008812252,Ternat,,,,
http://irail.be/stations/NMBS/008833266,Testelt,,,,
http://irail.be/stations/NMBS/008844339,Theux,,,,
http://irail.be/stations/NMBS/008881455,Thieu,,,,
http://irail.be/stations/NMBS/008719100,Thionville,,,,
http://irail.be/stations/NMBS/008871811,Thuin,,,,
http://irail.be/stations/NMBS/008884350,Thulin,,,,
http://irail.be/stations/NMBS/008815016,Thurn en Taxis/Tour et Taxis,Tour et Taxis,Thurn en Taxis,Tour et Taxis,Thurn en Taxis
http://irail.be/stations/NMBS/008821964,Tielen,,,,
http://irail.be/stations/NMBS/008892254,Tielt,,,,
http://irail.be/stations/NMBS/008833308,Tienen,Tirlemont,,Thienen,
http://irail.be/stations/NMBS/008842630,Tilff,,,,
http://irail.be/stations/NMBS/008872553,Tilly,,,,
http://irail.be/stations/NMBS/008895638,Tollembeek,,,,
http://irail.be/stations/NMBS/008831310,Tongeren,Tongres,,Tongern,
http://irail.be/stations/NMBS/008891314,Torhout,,,,
http://irail.be/stations/NMBS/008775500,Toulon,,,,
http://irail.be/stations/NMBS/008728654,Tourcoing,,,,
http://irail.be/stations/NMBS/008885001,Tournai,,Doornik,,
http://irail.be/stations/NMBS/008845203,TroisPonts,,,,
http://irail.be/stations/NMBS/008200136,Troisvierges,,,,
http://irail.be/stations/NMBS/008844271,Trooz,,,,
http://irail.be/stations/NMBS/008883808,Tubize,,Tubeke,,
http://irail.be/stations/NMBS/008821907,Turnhout,,,,
http://irail.be/stations/NMBS/008814134,UkkelKalevoet/UccleCalevoet,UccleCalevoet,UkkelKalevoet,,
